CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F167,F184,F185,F2340,F2341,F2342,F130016,F130017,F130018,F130019,F130020,F130021,F130022,F130023,F130024,F130025,F130026,F130731,F130732,F130733,F130734,F130735,F130736,F130737,F130738,F130739,F130740,F130800,F130801,F130802,F130803,F130804,F130805,F130806,F130807,F130808,F130809,F131145,F131146,F131147,F131148,F131149,F131150,F131151,F131152,F131153,F131154,F131490,F131491,F131492,F131493,F131494,F131495,F131496,F131497,F131498,F131499,F131904,F131905,F131906,F131907,F131908,F131909,F131910,F131911,F131912,F131913,F132180,F132181,F132182,F132183,F132184,F132185,F132186,F132187,F132188,F132189,F136983,
,,,,,Age : Total\ Age - Unit : Persons,Age : Mean age - Unit : Persons,Age : Median age - Unit : Persons,Sex : Total\ Sex - Unit : Persons,Sex : Males - Unit : Persons,Sex : Females - Unit : Persons,Ethnic group (UK harmonised) : Total\ Ethnic Group UK - Unit : Persons,Ethnic group (UK harmonised) : White - Unit : Persons,Ethnic group (UK harmonised) : Gypsy/Traveller/Irish Traveller - Unit : Persons,Ethnic group (UK harmonised) : Mixed/Multiple Ethnic Groups - Unit : Persons,Ethnic group (UK harmonised) : Asian/Asian British\ Indian - Unit : Persons,Ethnic group (UK harmonised) : Asian/Asian British\ Pakistani - Unit : Persons,Ethnic group (UK harmonised) : Asian/Asian British\ Bangladeshi - Unit : Persons,Ethnic group (UK harmonised) : Asian/Asian British\ Chinese - Unit : Persons,Ethnic group (UK harmonised) : Asian/Asian British\ Other Asian - Unit : Persons,Ethnic group (UK harmonised) : Black/African/Caribbean/Black British - Unit : Persons,Ethnic group (UK harmonised) : Other Ethnic Group - Unit : Persons,Ethnic group [E][S][W] : Total\ Ethnic group - Religion [E][S][W] : Total\ Religion - Unit : Persons,Ethnic group [E][S][W] : Total\ Ethnic group - Religion [E][S][W] : Christian - Unit : Persons,Ethnic group [E][S][W] : Total\ Ethnic group - Religion [E][S][W] : Buddhist - Unit : Persons,Ethnic group [E][S][W] : Total\ Ethnic group - Religion [E][S][W] : Hindu - Unit : Persons,Ethnic group [E][S][W] : Total\ Ethnic group - Religion [E][S][W] : Jewish - Unit : Persons,Ethnic group [E][S][W] : Total\ Ethnic group - Religion [E][S][W] : Muslim - Unit : Persons,Ethnic group [E][S][W] : Total\ Ethnic group - Religion [E][S][W] : Sikh - Unit : Persons,Ethnic group [E][S][W] : Total\ Ethnic group - Religion [E][S][W] : Other religion - Unit : Persons,Ethnic group [E][S][W] : Total\ Ethnic group - Religion [E][S][W] : No religion - Unit : Persons,Ethnic group [E][S][W] : Total\ Ethnic group - Religion [E][S][W] : Religion not stated - Unit : Persons,Ethnic group [E][S][W] : White - Religion [E][S][W] : Total\ Religion - Unit : Persons,Ethnic group [E][S][W] : White - Religion [E][S][W] : Christian - Unit : Persons,Ethnic group [E][S][W] : White - Religion [E][S][W] : Buddhist - Unit : Persons,Ethnic group [E][S][W] : White - Religion [E][S][W] : Hindu - Unit : Persons,Ethnic group [E][S][W] : White - Religion [E][S][W] : Jewish - Unit : Persons,Ethnic group [E][S][W] : White - Religion [E][S][W] : Muslim - Unit : Persons,Ethnic group [E][S][W] : White - Religion [E][S][W] : Sikh - Unit : Persons,Ethnic group [E][S][W] : White - Religion [E][S][W] : Other religion - Unit : Persons,Ethnic group [E][S][W] : White - Religion [E][S][W] : No religion - Unit : Persons,Ethnic group [E][S][W] : White - Religion [E][S][W] : Religion not stated - Unit : Persons,Ethnic group [E][S][W] : Mixed/multiple ethnic group - Religion [E][S][W] : Total\ Religion - Unit : Persons,Ethnic group [E][S][W] : Mixed/multiple ethnic group - Religion [E][S][W] : Christian - Unit : Persons,Ethnic group [E][S][W] : Mixed/multiple ethnic group - Religion [E][S][W] : Buddhist - Unit : Persons,Ethnic group [E][S][W] : Mixed/multiple ethnic group - Religion [E][S][W] : Hindu - Unit : Persons,Ethnic group [E][S][W] : Mixed/multiple ethnic group - Religion [E][S][W] : Jewish - Unit : Persons,Ethnic group [E][S][W] : Mixed/multiple ethnic group - Religion [E][S][W] : Muslim - Unit : Persons,Ethnic group [E][S][W] : Mixed/multiple ethnic group - Religion [E][S][W] : Sikh - Unit : Persons,Ethnic group [E][S][W] : Mixed/multiple ethnic group - Religion [E][S][W] : Other religion - Unit : Persons,Ethnic group [E][S][W] : Mixed/multiple ethnic group - Religion [E][S][W] : No religion - Unit : Persons,Ethnic group [E][S][W] : Mixed/multiple ethnic group - Religion [E][S][W] : Religion not stated - Unit : Persons,Ethnic group [E][S][W] : Asian/Asian British - Religion [E][S][W] : Total\ Religion - Unit : Persons,Ethnic group [E][S][W] : Asian/Asian British - Religion [E][S][W] : Christian - Unit : Persons,Ethnic group [E][S][W] : Asian/Asian British - Religion [E][S][W] : Buddhist - Unit : Persons,Ethnic group [E][S][W] : Asian/Asian British - Religion [E][S][W] : Hindu - Unit : Persons,Ethnic group [E][S][W] : Asian/Asian British - Religion [E][S][W] : Jewish - Unit : Persons,Ethnic group [E][S][W] : Asian/Asian British - Religion [E][S][W] : Muslim - Unit : Persons,Ethnic group [E][S][W] : Asian/Asian British - Religion [E][S][W] : Sikh - Unit : Persons,Ethnic group [E][S][W] : Asian/Asian British - Religion [E][S][W] : Other religion - Unit : Persons,Ethnic group [E][S][W] : Asian/Asian British - Religion [E][S][W] : No religion - Unit : Persons,Ethnic group [E][S][W] : Asian/Asian British - Religion [E][S][W] : Religion not stated - Unit : Persons,Ethnic group [E][S][W] : Black/African/Caribbean/Black British - Religion [E][S][W] : Total\ Religion - Unit : Persons,Ethnic group [E][S][W] : Black/African/Caribbean/Black British - Religion [E][S][W] : Christian - Unit : Persons,Ethnic group [E][S][W] : Black/African/Caribbean/Black British - Religion [E][S][W] : Buddhist - Unit : Persons,Ethnic group [E][S][W] : Black/African/Caribbean/Black British - Religion [E][S][W] : Hindu - Unit : Persons,Ethnic group [E][S][W] : Black/African/Caribbean/Black British - Religion [E][S][W] : Jewish - Unit : Persons,Ethnic group [E][S][W] : Black/African/Caribbean/Black British - Religion [E][S][W] : Muslim - Unit : Persons,Ethnic group [E][S][W] : Black/African/Caribbean/Black British - Religion [E][S][W] : Sikh - Unit : Persons,Ethnic group [E][S][W] : Black/African/Caribbean/Black British - Religion [E][S][W] : Other religion - Unit : Persons,Ethnic group [E][S][W] : Black/African/Caribbean/Black British - Religion [E][S][W] : No religion - Unit : Persons,Ethnic group [E][S][W] : Black/African/Caribbean/Black British - Religion [E][S][W] : Religion not stated - Unit : Persons,Ethnic group [E][S][W] : Other ethnic group - Religion [E][S][W] : Total\ Religion - Unit : Persons,Ethnic group [E][S][W] : Other ethnic group - Religion [E][S][W] : Christian - Unit : Persons,Ethnic group [E][S][W] : Other ethnic group - Religion [E][S][W] : Buddhist - Unit : Persons,Ethnic group [E][S][W] : Other ethnic group - Religion [E][S][W] : Hindu - Unit : Persons,Ethnic group [E][S][W] : Other ethnic group - Religion [E][S][W] : Jewish - Unit : Persons,Ethnic group [E][S][W] : Other ethnic group - Religion [E][S][W] : Muslim - Unit : Persons,Ethnic group [E][S][W] : Other ethnic group - Religion [E][S][W] : Sikh - Unit : Persons,Ethnic group [E][S][W] : Other ethnic group - Religion [E][S][W] : Other religion - Unit : Persons,Ethnic group [E][S][W] : Other ethnic group - Religion [E][S][W] : No religion - Unit : Persons,Ethnic group [E][S][W] : Other ethnic group - Religion [E][S][W] : Religion not stated - Unit : Persons,Population (usual residents) : All usual residents in households - Unit : Persons,
83,E06000006,Halton,Local Authorities,LA,125746,38.8502,39,125746,61368,64378,125746,123000,41,1356,282,44,60,308,249,260,146,125746,94314,216,194,44,267,55,303,23543,6810,123041,93094,90,14,41,63,7,292,22836,6604,1356,726,7,10,3,21,0,3,460,126,943,222,118,170,0,116,48,4,198,67,260,209,0,0,0,1,0,4,37,9,146,63,1,0,0,66,0,0,12,4,124874,
84,E06000007,Warrington,Local Authorities,LA,202228,39.49586,40,202228,100300,101928,202228,193926,66,2144,1803,1179,152,849,928,694,487,202228,144405,457,1118,147,2097,361,513,41293,11837,193992,141727,216,14,140,223,8,483,39850,11331,2144,1102,14,9,2,139,9,8,693,168,4911,962,223,1092,0,1394,326,12,632,270,694,521,0,1,0,61,0,7,74,30,487,93,4,2,5,280,18,3,44,38,198828,
126,E06000049,Cheshire East,Local Authorities,LA,370127,41.96989,43,370127,181409,188718,370127,357627,313,3873,2147,856,504,1125,1428,1402,852,370127,254940,882,1328,581,2438,279,1065,83973,24641,357940,250375,431,27,570,306,16,978,81454,23783,3873,1988,28,17,8,177,7,27,1292,329,6060,1355,410,1271,1,1459,236,45,929,354,1402,1054,3,5,0,69,0,5,176,90,852,168,10,8,2,427,20,10,122,85,365065,
127,E06000050,Cheshire West and Chester,Local Authorities,LA,329608,41.33889,42,329608,160586,169022,329608,320812,213,3050,1242,336,576,935,1008,908,528,329608,231126,776,653,250,1686,195,854,72649,21419,321025,227783,372,17,247,300,14,803,70678,20811,3050,1548,37,17,1,139,5,15,1033,255,4097,950,349,613,0,949,152,26,789,269,908,708,6,4,0,47,0,5,91,47,528,137,12,2,2,251,24,5,58,37,326236,
31241,E01012367,Halton 007A,Lower Super Output Areas and Data Zones,LSOADZ,1591,38.38906,35,1591,778,813,1591,1536,0,19,8,0,2,6,12,3,5,1591,1224,4,12,4,7,4,5,263,68,1536,1194,3,1,4,5,0,5,258,66,19,17,0,1,0,0,0,0,1,0,28,6,1,10,0,2,4,0,3,2,3,3,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,1,0,1591,
31242,E01012368,Halton 003A,Lower Super Output Areas and Data Zones,LSOADZ,1938,40.7709,39,1938,915,1023,1938,1911,0,13,5,5,0,1,3,0,0,1938,1549,3,5,1,5,0,4,233,138,1911,1538,1,0,1,0,0,4,229,138,13,10,0,0,0,0,0,0,3,0,14,1,2,5,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1892,
31243,E01012369,Halton 005A,Lower Super Output Areas and Data Zones,LSOADZ,1517,39.92749,41,1517,752,765,1517,1503,0,8,1,1,0,1,2,0,1,1517,1228,1,0,0,1,0,3,203,81,1503,1222,0,0,0,0,0,3,198,80,8,5,0,0,0,0,0,0,2,1,5,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1517,
31244,E01012370,Halton 007B,Lower Super Output Areas and Data Zones,LSOADZ,1743,37.10728,33,1743,847,896,1743,1687,0,31,3,1,0,4,16,1,0,1743,1299,7,3,0,10,0,3,284,137,1687,1281,3,0,0,2,0,3,272,126,31,15,0,0,0,2,0,0,9,5,24,2,4,3,0,6,0,0,3,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1699,
31245,E01012371,Halton 016A,Lower Super Output Areas and Data Zones,LSOADZ,1244,40.05788,42,1244,595,649,1244,1225,0,11,0,1,0,2,1,1,3,1244,913,1,0,1,5,0,0,248,76,1225,903,0,0,1,0,0,0,245,76,11,7,0,0,0,1,0,0,3,0,4,2,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,1244,
