CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F2384,
,,,,,Population (usual residents) : All usual residents - Unit : Persons,
83,E06000006,Halton,Local Authorities,LA,125746,
84,E06000007,Warrington,Local Authorities,LA,202228,
126,E06000049,Cheshire East,Local Authorities,LA,370127,
127,E06000050,Cheshire West and Chester,Local Authorities,LA,329608,
31241,E01012367,Halton 007A,Lower Super Output Areas and Data Zones,LSOADZ,1591,
31242,E01012368,Halton 003A,Lower Super Output Areas and Data Zones,LSOADZ,1938,
31243,E01012369,Halton 005A,Lower Super Output Areas and Data Zones,LSOADZ,1517,
31244,E01012370,Halton 007B,Lower Super Output Areas and Data Zones,LSOADZ,1743,
31245,E01012371,Halton 016A,Lower Super Output Areas and Data Zones,LSOADZ,1244,
31246,E01012372,Halton 016B,Lower Super Output Areas and Data Zones,LSOADZ,1139,
31247,E01012373,Halton 016C,Lower Super Output Areas and Data Zones,LSOADZ,1290,
31248,E01012374,Halton 002A,Lower Super Output Areas and Data Zones,LSOADZ,2733,
31249,E01012375,Halton 002B,Lower Super Output Areas and Data Zones,LSOADZ,1583,
31250,E01012376,Halton 002C,Lower Super Output Areas and Data Zones,LSOADZ,2593,
31251,E01012377,Halton 004A,Lower Super Output Areas and Data Zones,LSOADZ,1794,
31252,E01012378,Halton 006A,Lower Super Output Areas and Data Zones,LSOADZ,1498,
31253,E01012379,Halton 006B,Lower Super Output Areas and Data Zones,LSOADZ,1481,
31254,E01012380,Halton 006C,Lower Super Output Areas and Data Zones,LSOADZ,1391,
31255,E01012381,Halton 010A,Lower Super Output Areas and Data Zones,LSOADZ,1351,
31256,E01012382,Halton 010B,Lower Super Output Areas and Data Zones,LSOADZ,1497,
31257,E01012383,Halton 013A,Lower Super Output Areas and Data Zones,LSOADZ,1702,
31258,E01012384,Halton 010C,Lower Super Output Areas and Data Zones,LSOADZ,1588,
31259,E01012385,Halton 009A,Lower Super Output Areas and Data Zones,LSOADZ,1441,
31260,E01012386,Halton 009B,Lower Super Output Areas and Data Zones,LSOADZ,1945,
31261,E01012387,Halton 009C,Lower Super Output Areas and Data Zones,LSOADZ,1115,
31262,E01012388,Halton 006D,Lower Super Output Areas and Data Zones,LSOADZ,1814,
31263,E01012389,Halton 008A,Lower Super Output Areas and Data Zones,LSOADZ,1785,
31264,E01012390,Halton 004B,Lower Super Output Areas and Data Zones,LSOADZ,1597,
31265,E01012391,Halton 008B,Lower Super Output Areas and Data Zones,LSOADZ,2130,
31266,E01012392,Halton 001A,Lower Super Output Areas and Data Zones,LSOADZ,2350,
31267,E01012393,Halton 001B,Lower Super Output Areas and Data Zones,LSOADZ,2028,
31268,E01012394,Halton 005B,Lower Super Output Areas and Data Zones,LSOADZ,1485,
31269,E01012395,Halton 001C,Lower Super Output Areas and Data Zones,LSOADZ,1445,
31270,E01012396,Halton 013B,Lower Super Output Areas and Data Zones,LSOADZ,1531,
31271,E01012397,Halton 013C,Lower Super Output Areas and Data Zones,LSOADZ,1505,
31272,E01012398,Halton 011A,Lower Super Output Areas and Data Zones,LSOADZ,1239,
31273,E01012399,Halton 013D,Lower Super Output Areas and Data Zones,LSOADZ,1408,
31274,E01012400,Halton 011B,Lower Super Output Areas and Data Zones,LSOADZ,1240,
31275,E01012401,Halton 008C,Lower Super Output Areas and Data Zones,LSOADZ,1841,
31276,E01012402,Halton 011C,Lower Super Output Areas and Data Zones,LSOADZ,1586,
31277,E01012403,Halton 013E,Lower Super Output Areas and Data Zones,LSOADZ,1624,
31278,E01012404,Halton 011D,Lower Super Output Areas and Data Zones,LSOADZ,1403,
31279,E01012405,Halton 011E,Lower Super Output Areas and Data Zones,LSOADZ,1992,
31280,E01012406,Halton 015A,Lower Super Output Areas and Data Zones,LSOADZ,1596,
31281,E01012407,Halton 015B,Lower Super Output Areas and Data Zones,LSOADZ,1594,
31282,E01012408,Halton 013F,Lower Super Output Areas and Data Zones,LSOADZ,2046,
31283,E01012409,Halton 015C,Lower Super Output Areas and Data Zones,LSOADZ,1434,
31284,E01012410,Halton 003B,Lower Super Output Areas and Data Zones,LSOADZ,1265,
31285,E01012411,Halton 001D,Lower Super Output Areas and Data Zones,LSOADZ,1314,
31286,E01012412,Halton 003C,Lower Super Output Areas and Data Zones,LSOADZ,1449,
31287,E01012413,Halton 003D,Lower Super Output Areas and Data Zones,LSOADZ,1485,
31288,E01012414,Halton 003E,Lower Super Output Areas and Data Zones,LSOADZ,1232,
31289,E01012415,Halton 016D,Lower Super Output Areas and Data Zones,LSOADZ,1399,
31290,E01012416,Halton 012A,Lower Super Output Areas and Data Zones,LSOADZ,1792,
31291,E01012417,Halton 012B,Lower Super Output Areas and Data Zones,LSOADZ,1294,
31292,E01012418,Halton 016E,Lower Super Output Areas and Data Zones,LSOADZ,1376,
31293,E01012419,Halton 004C,Lower Super Output Areas and Data Zones,LSOADZ,1143,
31294,E01012420,Halton 004D,Lower Super Output Areas and Data Zones,LSOADZ,1481,
31295,E01012421,Halton 002D,Lower Super Output Areas and Data Zones,LSOADZ,1339,
31296,E01012422,Halton 004E,Lower Super Output Areas and Data Zones,LSOADZ,1480,
31297,E01012423,Halton 002E,Lower Super Output Areas and Data Zones,LSOADZ,1418,
31298,E01012424,Halton 007C,Lower Super Output Areas and Data Zones,LSOADZ,1877,
31299,E01012425,Halton 005C,Lower Super Output Areas and Data Zones,LSOADZ,1613,
31300,E01012426,Halton 005D,Lower Super Output Areas and Data Zones,LSOADZ,1345,
31301,E01012427,Halton 005E,Lower Super Output Areas and Data Zones,LSOADZ,1765,
31302,E01012428,Halton 012C,Lower Super Output Areas and Data Zones,LSOADZ,2200,
31303,E01012429,Halton 012D,Lower Super Output Areas and Data Zones,LSOADZ,1387,
31304,E01012430,Halton 012E,Lower Super Output Areas and Data Zones,LSOADZ,1755,
