Ward_Name,Population,F0_15,F0_15_Percent,F16_64,F16_64_Percent,F65_,F65__Perc,Size_in_hectares,Population_Density,Household_Income_Rank,Claimant_Count,Claimant_Percent,KS4_Eng_and_Maths,KS4_5_plus_inc_Eng_and_Maths,KS5___Avg_points_per_pupil,Total_Crimes,Crime_rate,Burglary,Burglary_Percent,Robbery,Robbery_Percent,Vehicle,Vehicle_Percent,Violence_Person,Violence_Person_Percent,Criminal_Damage,Criminal_Damage_Percent,Other_Crime,Other_Crime_Percent,Households,Band_A,Band_A_Percent,Band_B,Band_B_Percent,Band_C,Band_C_Percent,Band_D,Band_D_Percent,Band_E,Band_E_Percent,Band_F,Band_F_Percent,Band_G,Band_G_Percent,Band_H,Band_H_Percent,Second_Homes,Second_Homes_Percent,Single_Occupier,Single_Occupier_Percent,Long_Term_Empty_unfurnished,Long_Term_Empty_unfurnished_Per,Student_Exemption,Student_Exemption_Percent,Social_Housing,Social_Housing_Percent,House_Prices_Median,Fuel_Poverty_Percent,Fuel_Poverty_Quintile,Fuel_Poverty_Rank,First_Similar_Ward,Second_Similar_Ward,Third_Similar_Ward,Acorn_Affuent_Achievers,Acorn_Rising_Prosperity,Acorn_Comfortable_Communities,Acorn_Financially_Stretched,Acorn_Urban_Adversity,Acorn_Not_Private_Residences,IMD_Overall_Quintile,IMD_Overall_Rank,IMD_Income_Quintile,IMD_Income_Rank,IMD_Employment_Quintile,IMD_Employment_Rank,IMD_Edu_Skills_Quintile,IMD_Edu_Skills_Rank,IMD_Health_Disab_Quintile,IMD_Health_Disab_Rank,IMD_Crime_Quintile,IMD_Crime_Rank,IMD_Housing_Quintile,IMD_Housing_Rank,IMD_Living_Quintile,IMD_Living_Rank,x,y,Location,Acorn,ObjectId
Brereton Rural,5100,900,17.3,3100,60.9,1100,21.8,9902,0.5,15,20,0.6,86.8,31.6,111.1,201,39.8,22,10.9,,0,25,12.4,42,20.9,25,12.4,112,55.7,2211,175,8,194,9,323,15,331,15,273,12,417,19,454,21,44,2,23,1,451,20,48,2,2,0,130,5.7,291890,16.1,Top,6,Bunbury,Gawsworth,Wrenbury,73.4,0.3,20.6,5.6,0,0.1,Third,15,Fourth,30,Fourth,35,Fourth,28,Fourth,43,Fourth,20,Top,2,Top,4,378016,362942,"(53.1631, -2.3303)",,1
Bunbury,5000,800,16,3200,63.7,1000,20.3,8448,0.6,21,10,0.3,90.9,45.5,,135,27.1,18,13.3,,0,10,7.4,27,20,25,18.5,80,59.3,2043,188,9,183,9,332,16,287,14,290,14,379,19,356,17,28,1,28,1,475,23,50,2,1,0,170,8.2,316875,18.4,Top,3,Brereton Rural,Wrenbury,Gawsworth,67.1,0.9,17.5,14.5,0,0,Fourth,18,Fourth,33,Lowest,43,Lowest,31,Lowest,44,Fourth,30,Top,5,Top,5,363102,358379,"(53.1213, -2.5528)",,2
Chelford,3900,600,14.7,2200,57,1100,28.3,5608,0.7,7,10,0.5,80,35,108.8,118,30.5,28,23.7,,0,7,5.9,35,29.7,12,10.2,48,40.7,1841,36,2,93,5,182,10,239,13,306,17,305,17,470,26,210,11,25,1,491,27,39,2,,0,160,8.7,421250,10,Third,20,High Legh,Gawsworth,Wybunbury,86.1,0.8,5.9,6.5,0,0.7,Fourth,20,Fourth,34,Fourth,19,Lowest,36,Fourth,23,Lowest,51,Top,6,Second,14,378680,375268,"(53.274, -2.3212)",,3
Alderley Edge,4900,800,16.3,2900,58.3,1200,25.4,412,11.9,3,10,0.4,76,24,112.7,181,37,29,16,,0,12,6.6,55,30.4,22,12.2,85,47,2364,78,3,77,3,350,15,486,21,330,14,331,14,545,23,167,7,37,2,859,36,70,3,1,0,150,6.2,396750,8.6,Fourth,36,Wilmslow East,Prestbury,Wilmslow West and Chorley,74.8,4.2,9.3,8.2,0.8,2.8,Lowest,49,Lowest,35,Lowest,41,Lowest,49,Fourth,42,Lowest,39,Lowest,48,Third,30,384590,378566,"(53.3038, -2.2327)",,4
Alsager,11700,2000,17,6600,56.2,3100,26.8,906,12.9,35,65,1,72.1,36.4,116.7,332,28.4,41,12.3,,0,28,8.4,98,29.5,43,13,165,49.7,5512,680,12,1329,24,1290,23,934,17,795,14,366,7,114,2,4,0,22,0,1834,33,95,2,9,0,590,10.6,179150,8.8,Third,34,Willaston and Rope,Congleton West,Wistaston,52.7,4,26,15.3,1.7,0.3,Fourth,33,Fourth,20,Fourth,21,Lowest,32,Fourth,33,Fourth,26,Fourth,38,Fourth,51,379450,355224,"(53.0938, -2.3083)",,5
Audlem,4900,700,15.1,2800,56.7,1400,28.2,8375,0.6,29,15,0.5,68.2,43.2,93.5,89,18.1,21,23.6,,0,4,4.5,22,24.7,12,13.5,42,47.2,2122,95,4,169,8,314,15,405,19,473,22,354,17,300,14,12,1,18,1,531,25,37,2,3,0,110,5.4,293748,20.5,Top,2,Wrenbury,Bunbury,Brereton Rural,49.8,0.2,42.8,3.6,0,3.6,Fourth,19,Fourth,31,Fourth,36,Lowest,34,Fourth,35,Lowest,38,Top,8,Top,3,364252,344679,"(52.9982, -2.5341)",,6
Bollington,8300,1400,17.3,5100,61,1800,21.7,800,10.4,22,50,1,71.4,25.4,124.1,194,23.3,32,16.5,1,0.5,23,11.9,45,23.2,39,20.1,93,47.9,3987,237,6,1017,26,1101,28,672,17,488,12,332,8,129,3,11,0,36,1,1386,35,45,1,6,0,350,8.7,203750,11.4,Second,13,Sutton*,Disley*,Poynton East and Pott Shrigley*,36.6,9.9,35.2,17,0.1,1.2,Lowest,37,Fourth,27,Fourth,31,Fourth,26,Fourth,34,Lowest,36,Lowest,50,Third,15,393138,376680,"(53.287, -2.1044)",,7
Broken Cross and Upton,9000,1800,19.8,5600,61.7,1700,18.4,411,21.9,16,70,1.3,74.2,35.5,126.9,330,36.7,31,9.4,,0,18,5.5,119,36.1,47,14.2,162,49.1,3855,471,12,601,16,1184,31,478,12,672,17,324,8,118,3,7,0,50,1,1260,33,46,1,10,0,460,11.9,209000,6.6,Lowest,48,Nantwich South and Stapeley,Macclesfield Tytherington*,Congleton West*,52.4,13.3,10.8,12,9.1,2.4,Fourth,31,Fourth,23,Fourth,22,Fourth,23,Third,21,Fourth,17,Fourth,30,Lowest,52,389578,374567,"(53.268, -2.1577)",,8
Congleton East,13700,2600,18.7,8100,59.4,3000,21.9,1688,8.1,36,90,1.1,58,15.2,80.7,563,41.2,69,12.3,3,0.5,80,14.2,144,25.6,88,15.6,267,47.4,6070,929,15,1540,25,951,16,920,15,1011,17,484,8,223,4,12,0,24,0,1830,30,72,1,7,0,960,15.7,184500,8.8,Third,33,Wistaston,Willaston and Rope,Congleton West*,49,3.7,18.7,21.6,6.6,0.4,Third,16,Third,15,Third,16,Third,12,Third,17,Third,8,Fourth,32,Fourth,38,388373,363158,"(53.1654, -2.1754)",,9
Cheshire East Total ,375400,66200,17.6,227000,60.5,82200,21.9,116608,3.2,,2500,1.1,66.9,26.6,110.3,16573,44.1,1676,10.1,70,0.4,1296,7.8,4358,26.3,2678,16.2,9173,55.3,171122,30277,18,35559,21,33583,20,25168,15,19427,11,13335,8,11978,7,1795,1,1140,1,54563,32,2736,2,297,0,19050,11.1,196225,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
