FID,LSOAGSSCD,LSOAONSCD,Area,BoundaryLe,WardGSSCD,WardONSCD,WardName,Shape__Area,Shape__Length
1,E01018386,Cheshire East 042A,1019450.212,7851.205548,E05008611,00EQNF,Alsager,2824468.018,13066.83681
2,E01018387,Cheshire East 040A,1650190.267,9025.602414,E05008611,00EQNF,Alsager,4573645.135,15027.00986
3,E01018388,Cheshire East 040B,394215.7744,3066.442591,E05008611,00EQNF,Alsager,1092272.614,5103.478572
4,E01018389,Cheshire East 040C,950171.5983,6202.276943,E05008611,00EQNF,Alsager,2631946.261,10320.9354
5,E01018390,Cheshire East 040D,2276905.64,7685.046574,E05008611,00EQNF,Alsager,6304770.155,12786.18219
6,E01018391,Cheshire East 042B,2311786.07,8068.509632,E05008611,00EQNF,Alsager,6402091.889,13426.60615
7,E01018392,Cheshire East 042C,467540.3578,5450.117556,E05008611,00EQNF,Alsager,1295251.642,9070.937148
8,E01018393,Cheshire East 022A,40507741.44,49925.70739,E05008644,00EQPR,Odd Rode,112543719.2,83220.07575
9,E01018394,Cheshire East 033A,42279853.34,59357.29637,E05008614,00EQNJ,Brereton Rural,117515982.5,98953.98703
10,E01018395,Cheshire East 026A,4289909.992,13746.45594,E05008618,00EQNN,Congleton East,11928558.18,22924.63355
11,E01018396,Cheshire East 026B,362789.822,4316.077388,E05008618,00EQNN,Congleton East,1008701.65,7197.209773
12,E01018397,Cheshire East 028A,1094485.939,6296.761324,E05008619,00EQNP,Congleton West,3041101.286,10498.23825
13,E01018398,Cheshire East 027A,418465.4663,3993.969867,E05008619,00EQNP,Congleton West,1162756.17,6658.035363
14,E01018399,Cheshire East 027B,665711.0019,3813.811066,E05008619,00EQNP,Congleton West,1849578.431,6355.463609
15,E01018400,Cheshire East 026C,598937.0464,4455.051842,E05008618,00EQNN,Congleton East,1664556.686,7426.977866
16,E01018401,Cheshire East 026D,413383.1229,3384.930126,E05008618,00EQNN,Congleton East,1148652.071,5641.392737
17,E01018402,Cheshire East 027C,688381.005,5519.902101,E05008619,00EQNP,Congleton West,1913276.012,9200.499189
18,E01018403,Cheshire East 027D,871879.0246,4842.15989,E05008619,00EQNP,Congleton West,2424042.441,8074.151839
19,E01018404,Cheshire East 029A,2280095.724,7578.011171,E05008618,00EQNN,Congleton East,6331282.638,12629.88834
20,E01018405,Cheshire East 029B,362683.5758,4205.988794,E05008618,00EQNN,Congleton East,1007645.671,7009.245239
21,E01018406,Cheshire East 029C,7577066.666,15435.32481,E05008618,00EQNN,Congleton East,21059421.48,25739.67627
22,E01018407,Cheshire East 029D,859251.1047,5579.785775,E05008618,00EQNN,Congleton East,2386652.432,9297.391183
23,E01018408,Cheshire East 028B,702929.0383,4607.491951,E05008619,00EQNP,Congleton West,1954029.695,7681.813021
24,E01018409,Cheshire East 028C,648765.4934,4608.787659,E05008619,00EQNP,Congleton West,1803115.764,7683.872284
25,E01018410,Cheshire East 028D,718396.9855,5455.80966,E05008619,00EQNP,Congleton West,1996188.009,9093.853622
26,E01018411,Cheshire East 022B,10544389.77,23705.21722,E05008626,00EQNX,Dane Valley,29374926.72,39567.56396
27,E01018412,Cheshire East 022C,21771188.32,34604.43722,E05008626,00EQNX,Dane Valley,60658611.98,57765.13734
28,E01018413,Cheshire East 023A,2047932.01,10502.72685,E05008626,00EQNX,Dane Valley,5700578.003,17525.1554
29,E01018414,Cheshire East 023B,1922739.25,9044.169684,E05008626,00EQNX,Dane Valley,5352357.508,15086.71625
30,E01018415,Cheshire East 023C,609882.4109,6963.536543,E05008626,00EQNX,Dane Valley,1697733.812,11617.97819
31,E01018416,Cheshire East 023D,572655.4765,6041.582112,E05008626,00EQNX,Dane Valley,1593791.543,10076.99138
32,E01018417,Cheshire East 033B,4498172.594,14683.81083,E05008644,00EQPR,Odd Rode,12461634.63,24441.30417
33,E01018418,Cheshire East 033C,16196271.12,24322.69931,E05008614,00EQNJ,Brereton Rural,44922359.67,40508.48957
34,E01018419,Cheshire East 025A,929217.6606,5687.068638,E05008640,00EQPM,Middlewich,2583541.368,9484.266332
35,E01018420,Cheshire East 025B,530040.5262,3914.913472,E05008640,00EQPM,Middlewich,1475232.338,6531.374049
36,E01018421,Cheshire East 025C,788582.2498,7383.232254,E05008640,00EQPM,Middlewich,2193126.691,12314.41573
37,E01018422,Cheshire East 025D,3277060.51,12260.35593,E05008640,00EQPM,Middlewich,9115387.47,20449.76523
38,E01018423,Cheshire East 025E,254059.9099,4117.403564,E05008640,00EQPM,Middlewich,706571.8975,6867.875399
39,E01018424,Cheshire East 024A,684327.2974,5816.21325,E05008640,00EQPM,Middlewich,1904588.129,9703.569118
40,E01018425,Cheshire East 024B,480196.2795,5119.77371,E05008640,00EQPM,Middlewich,1336083.499,8539.852885
41,E01018426,Cheshire East 024C,333721.5962,4104.337252,E05008640,00EQPM,Middlewich,928373.1299,6847.528884
42,E01018427,Cheshire East 024D,721182.7528,4894.984148,E05008640,00EQPM,Middlewich,2005706.261,8165.809811
43,E01018428,Cheshire East 033D,3483339.263,12479.64872,E05008644,00EQPR,Odd Rode,9658877.876,20781.41232
44,E01018429,Cheshire East 033E,1573288.196,9329.030088,E05008644,00EQPR,Odd Rode,4361283.146,15533.43001
45,E01018430,Cheshire East 033F,843310.1781,4458.683894,E05008644,00EQPR,Odd Rode,2338570.28,7428.30972
46,E01018431,Cheshire East 033G,9490248.715,18411.06129,E05008644,00EQPR,Odd Rode,26318198.75,30660.42935
47,E01018432,Cheshire East 032A,438356.2813,4069.954332,E05008650,00EQPY,Sandbach Heath and East,1216658.661,6781.207897
48,E01018433,Cheshire East 032B,1328034.91,5845.208658,E05008650,00EQPY,Sandbach Heath and East,3687433.498,9739.482947
49,E01018434,Cheshire East 032C,1226517.428,8304.442523,E05008650,00EQPY,Sandbach Heath and East,3404236.27,13835.68203
50,E01018435,Cheshire East 032D,557236.695,4832.334793,E05008650,00EQPY,Sandbach Heath and East,1546999.492,8051.714449
51,E01018436,Cheshire East 030A,835480.9862,4630.002698,E05008648,00EQPW,Sandbach Elworth,2320550.221,7718.137425
52,E01018437,Cheshire East 030B,398337.0443,4282.669424,E05008651,00EQPZ,Sandbach Town,1106088.055,7134.755708
53,E01018438,Cheshire East 030C,1157061.671,6667.821404,E05008651,00EQPZ,Sandbach Town,3213738.966,11112.38989
54,E01018439,Cheshire East 030D,2248071.292,10464.9741,E05008651,00EQPZ,Sandbach Town,6244468.61,17440.06444
55,E01018440,Cheshire East 031A,934420.4532,6022.008242,E05008648,00EQPW,Sandbach Elworth,2595148.989,10038.59452
56,E01018441,Cheshire East 031B,1296763.614,6770.171769,E05008649,00EQPX,Sandbach Ettiley Heath and Wheelock,3599258.206,11282.6744
57,E01018442,Cheshire East 031C,1638238.582,8491.24961,E05008648,00EQPW,Sandbach Elworth,4547572.719,14144.41513
58,E01018443,Cheshire East 031D,2971295.543,9086.528252,E05008649,00EQPX,Sandbach Ettiley Heath and Wheelock,8242665.631,15133.9988
59,E01018444,Cheshire East 049A,45025844.2,54229.94604,E05008616,00EQNL,Bunbury,124484581,90182.63266
60,E01018445,Cheshire East 045A,723657.4052,4990.341025,E05008624,00EQNU,Crewe South,2003497.902,8304.152787
61,E01018446,Cheshire East 045B,351842.5719,4131.219887,E05008624,00EQNU,Crewe South,973939.8751,6872.483284
62,E01018447,Cheshire East 045C,210931.4936,3181.731877,E05008624,00EQNU,Crewe South,584082.6399,5294.552559
63,E01018448,Cheshire East 045D,380190.3761,4134.676679,E05008624,00EQNU,Crewe South,1052615.182,6878.67582
64,E01018449,Cheshire East 051A,19607208.66,26991.09529,E05008612,00EQNG,Audlem,54029635.07,44805.0259
65,E01018450,Cheshire East 051B,41578631.49,53509.086,E05008612,00EQNG,Audlem,114613165.1,88841.36729
66,E01018451,Cheshire East 047A,246056.8665,3202.484553,E05008642,00EQPP,Nantwich North and West,680800.0231,5326.354454
67,E01018452,Cheshire East 050A,228392.7538,2686.770509,E05008642,00EQPP,Nantwich North and West,631746.5847,4467.186082
68,E01018454,Cheshire East 047B,246072.7543,3253.383118,E05008642,00EQPP,Nantwich North and West,680987.8535,5413.211526
