lsoa11,samhi_index.2011,samhi_dec.2011,samhi_index.2012,samhi_dec.2012,samhi_index.2013,samhi_dec.2013,samhi_index.2014,samhi_dec.2014,samhi_index.2015,samhi_dec.2015,samhi_index.2016,samhi_dec.2016,samhi_index.2017,samhi_dec.2017,samhi_index.2018,samhi_dec.2018
E01000001,-1.420787149,1,-1.272690817,1,-1.370606617,1,-0.864362834,2,-1.140229824,1,-1.173994781,1,-1.025979892,1,-1.06954023,1
E01000002,-1.362722649,1,-1.417076589,1,-1.350138302,1,-1.32194665,1,-1.315372861,1,-1.038107174,1,-1.171029415,1,-0.8970081,1
E01000003,-0.194390768,7,0.241839282,8,0.859521091,9,0.254978196,8,0.154320734,7,0.028051415,6,0.075537866,6,0.005860987,5
E01000005,-0.630536221,5,-0.935893263,2,-0.698364668,3,-0.379931216,5,-0.775919086,2,-0.466261625,3,-0.578136547,2,-0.217914123,4
E01000006,-1.093606491,2,-1.173067451,1,-1.209819966,1,-1.187763153,1,-1.156627743,1,-1.083723474,1,-0.905261152,1,-1.160442913,1
E01000007,-1.076837565,2,-0.602570993,4,-0.527104572,5,-0.336980431,5,-0.765453708,2,-0.772503521,2,-0.582373818,2,-0.914445781,1
E01000008,-0.734422544,4,-0.943988096,2,-0.594330197,4,-0.729334082,3,-0.754520409,2,-0.907071824,1,-0.565382189,3,-0.64409662,2
E01000009,-0.520106603,6,-0.755299297,3,-0.801975632,3,-0.848007934,2,-0.377778473,4,-0.508958648,3,-0.430949892,3,-0.247092498,4
E01000010,-0.948017054,3,-0.924226443,2,-0.996951347,2,-0.982275199,1,-0.961802697,1,-1.093484816,1,-0.79053438,1,-0.947298475,1
E01000011,-0.984833902,2,-1.012792771,2,-0.569637127,4,-0.602227337,4,-0.855485911,2,-0.663358247,2,-0.795151593,1,-0.608774404,2
E01000012,-0.895336145,3,-0.824991015,3,-0.946551057,2,-1.006671079,1,-0.904108925,1,-0.907964406,1,-0.787964326,1,-0.850162846,1
E01000013,-0.530319548,6,-0.40926565,6,0.007954384,7,-0.322232576,5,-0.410130304,4,-0.165559753,5,-0.350810989,4,-0.148069805,4
